Dataset,Classifier,Metric,Method_A,Method_B,N_Pairs,Mean_A,Mean_B,Delta_Mean,Statistic,p_raw,Effect_Size_r_rb,Effect_Interpretation,p_holm,Significant_Holm
colon,catboost,f1,QUBO-SB (K=20),ANOVA (K=20),5,0.8325396825396826,0.7611111111111111,0.07142857142857142,0.0,0.5,1.0,Grande,1.0,False
colon,catboost,f1,QUBO-SB (K=20),RFECV,5,0.8325396825396826,0.7811111111111111,0.0514285714285714,3.0,0.5,0.6666666666666666,Grande,1.0,False
colon,catboost,f1,QUBO-SB (K=20),Lasso,5,0.8325396825396826,0.7866666666666667,0.04587301587301584,4.0,0.5,0.4,Médio,1.0,False
colon,opf,f1,QUBO-SA (K=20),None,5,0.588095238095238,0.6119047619047618,-0.023809523809523815,7.0,1.0,0.0,Negligível,1.0,False
colon,opf,f1,QUBO-SA (K=20),ANOVA (K=20),5,0.588095238095238,0.6587301587301587,-0.07063492063492063,4.0,0.4375,-0.4666666666666667,Médio,1.0,False
colon,opf,f1,QUBO-SA (K=20),RFECV,5,0.588095238095238,0.6385714285714286,-0.050476190476190494,5.0,0.625,-0.3333333333333333,Médio,1.0,False
colon,opf,f1,QUBO-SA (K=20),Lasso,5,0.588095238095238,0.7480952380952381,-0.16,0.0,0.125,-1.0,Grande,1.0,False
colon,opf,f1,QUBO-SA (K=20),QUBO-SB (K=20),5,0.588095238095238,0.7457142857142858,-0.15761904761904763,0.0,0.125,-1.0,Grande,1.0,False
colon,opf,f1,QUBO-SB (K=20),None,5,0.7457142857142858,0.6119047619047618,0.13380952380952382,0.0,0.125,1.0,Grande,1.0,False
colon,opf,f1,QUBO-SB (K=20),ANOVA (K=20),5,0.7457142857142858,0.6587301587301587,0.08698412698412701,3.0,0.3125,0.6,Grande,1.0,False
colon,opf,f1,QUBO-SB (K=20),RFECV,5,0.7457142857142858,0.6385714285714286,0.10714285714285714,2.0,0.25,0.8,Grande,1.0,False
colon,opf,f1,QUBO-SB (K=20),Lasso,5,0.7457142857142858,0.7480952380952381,-0.0023809523809523725,6.5,1.0,-0.1,Pequeno,1.0,False
colon,All_Classifiers,f1,QUBO-SA (K=20),None,30,0.5634920634920635,0.6858585858585861,-0.12236652236652239,112.5,0.028009260883317618,-0.5398550724637681,Grande,0.09159934687256525,False
colon,All_Classifiers,f1,QUBO-SA (K=20),ANOVA (K=20),30,0.5634920634920635,0.7349062049062048,-0.1714141414141414,62.5,0.002765090862775722,-0.7857142857142857,Grande,0.019355636039430052,True
colon,All_Classifiers,f1,QUBO-SA (K=20),RFECV,30,0.5634920634920635,0.7110317460317461,-0.14753968253968253,78.5,0.003014457959774514,-0.7166666666666667,Grande,0.019355636039430052,True
colon,All_Classifiers,f1,QUBO-SA (K=20),Lasso,30,0.5634920634920635,0.7593386243386245,-0.19584656084656085,23.0,5.085763586343792e-05,-0.9347826086956522,Grande,0.00040686108690750334,True
colon,All_Classifiers,f1,QUBO-SA (K=20),QUBO-SB (K=20),30,0.5634920634920635,0.772936507936508,-0.20944444444444446,20.5,4.066262422134343e-05,-0.9528985507246377,Grande,0.00036596361799209084,True
colon,All_Classifiers,f1,QUBO-SB (K=20),None,30,0.772936507936508,0.6858585858585861,0.08707792207792207,67.5,0.007230793511911284,0.7719298245614035,Grande,0.036153967559556424,True
colon,All_Classifiers,f1,QUBO-SB (K=20),ANOVA (K=20),30,0.772936507936508,0.7349062049062048,0.03803030303030303,115.0,0.09417614857611822,0.49707602339181284,Médio,0.18835229715223645,False
colon,All_Classifiers,f1,QUBO-SB (K=20),RFECV,30,0.772936507936508,0.7110317460317461,0.06190476190476191,75.5,0.022899836718141314,0.7132352941176471,Grande,0.09159934687256525,False
colon,All_Classifiers,f1,QUBO-SB (K=20),Lasso,30,0.772936507936508,0.7593386243386245,0.013597883597883593,102.0,0.21728406187196214,0.25274725274725274,Pequeno,0.21728406187196214,False
